"DATES"	"MOMENT"	"TQR"	"RPE"	"DURATION"	"SLEEP"	"PERSON_ID"	"ID"	"TQR_OF_RPE"
05-JAN-13	"O"	15	10	80	9	1	2474	
06-JAN-13	"A"			0	0	1	2475	
06-JAN-13	"O"	14	12	130	9	1	2476	
07-JAN-13	"A"	15	11	70	1	1	2477	
07-JAN-13	"O"	15	8	45	9	1	2478	
08-JAN-13	"A"	14	11	45	0	1	2479	
08-JAN-13	"O"	15	8	45	9	1	2480	
09-JAN-13	"A"	15	8	40	1	1	2481	
09-JAN-13	"O"	13	10	75	9	1	2482	
10-JAN-13	"A"	16	13	120	1	1	2483	
10-JAN-13	"O"	17	7	44	9	1	2484	
11-JAN-13	"A"	16	11	48	0	1	2485	
11-JAN-13	"O"	16	11	80	9	1	2486	
12-JAN-13	"A"			0	0	1	2487	
12-JAN-13	"O"	14	14	120	9	1	2488	
13-JAN-13	"A"			0	0	1	2489	
13-JAN-13	"O"	15	12	128	9	1	2490	
14-JAN-13	"A"	15	12	60	9	1	2491	
14-JAN-13	"O"	16	10	45	9	1	2492	
15-JAN-13	"A"	14	12	90	1	1	2493	
15-JAN-13	"O"	17	9	45	9	1	2494	
16-JAN-13	"A"	17	8	45	1	1	2495	
16-JAN-13	"O"	14	8	45	9	1	2496	
17-JAN-13	"A"			0	0	1	2497	
17-JAN-13	"O"			0	8	1	2498	
18-JAN-13	"A"	15	8	60	1	1	2499	
18-JAN-13	"O"			0	6	1	2500	
19-JAN-13	"A"	13	13	105	2	1	2501	
19-JAN-13	"O"	15	10	51	9	1	2502	
20-JAN-13	"A"	13	11	80	2	1	2503	
20-JAN-13	"O"	14	9	50	9	1	2504	
21-JAN-13	"A"	12	6	40	2	1	2505	
21-JAN-13	"O"	13	9	62	9	1	2506	
22-JAN-13	"A"	14	13	100	2	1	2507	
22-JAN-13	"O"	16	9	52	9	1	2508	
23-JAN-13	"A"	14	8	40	2	1	2509	
23-JAN-13	"O"	13	9	50	9	1	2510	
24-JAN-13	"A"			0	2	1	2511	
24-JAN-13	"O"	13	14	125	9	1	2512	
25-JAN-13	"A"			0	2	1	2513	
25-JAN-13	"O"	13	13	120	9	1	2514	
26-JAN-13	"A"	14	11	60	9	1	2515	
26-JAN-13	"O"	14	8	45	9	1	2516	
27-JAN-13	"A"			0	2	1	2517	
27-JAN-13	"O"	14	9	85	9	1	2518	
28-JAN-13	"A"	13	11	60	2	1	2519	
28-JAN-13	"O"	15	10	52	9	1	2520	
29-JAN-13	"A"	14	12	105	2	1	2521	
29-JAN-13	"O"	15	8	50	9	1	2522	
30-JAN-13	"A"	14	10	71	2	1	2523	
30-JAN-13	"O"	15	9	45	9	1	2524	
31-JAN-13	"A"			0	2	1	2525	
31-JAN-13	"O"	12	9	45	9	1	2526	
